,short_name,long_name,age,dob,height_cm,weight_kg,nationality,Team,League,league_rank,overall,potential,wage_eur,FIFA Position,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic,Goals,General_Position,Appearances,Index
3184,Jota,José Ignacio Peleteiro Ramallo,28,1991-06-16,180,70,Spain,Aston Villa,English Premier League,1.0,73,73,50000,RW,Left,1,2,3,High/Low,69.0,68.0,72.0,75.0,31.0,58.0,0,Midfielder,8,3184
3188,F. Lucioni,Fabio Lucioni,31,1987-09-25,186,80,Italy,Lecce,Italian Serie A,1.0,73,73,15000,CB,Right,1,4,2,Medium/High,54.0,33.0,48.0,50.0,73.0,72.0,1,Defender,22,3188
3195,L. Ceppitelli,Luca Ceppitelli,29,1989-08-11,189,83,Italy,Cagliari,Italian Serie A,1.0,73,73,20000,CB,Right,1,3,2,High/High,54.0,33.0,35.0,40.0,75.0,74.0,2,Defender,9,3195
3197,K. Coulibaly,Kalifa Coulibaly,27,1991-08-21,197,87,Mali,FC Nantes,French Ligue 1,1.0,73,73,20000,ST,Right,1,3,3,Medium/Medium,74.0,72.0,60.0,61.0,27.0,73.0,3,Midfielder,15,3197
3200,Roberto Torres,Roberto Torres Morales,30,1989-03-17,178,72,Spain,CA Osasuna,Spain Primera Division,1.0,73,73,20000,"RM, LM, CAM",Right,1,4,3,Medium/Medium,63.0,74.0,73.0,71.0,59.0,71.0,4,Midfielder,24,3200
3202,S. Andersson,Sebastian Andersson,27,1991-07-15,190,86,Sweden,1. FC Union Berlin,German 1. Bundesliga,1.0,73,73,30000,ST,Right,1,2,2,High/Medium,65.0,69.0,49.0,65.0,25.0,75.0,8,Forward,22,3202
3205,O. Niasse,El-Hadji Baye Oumar Niasse,29,1990-04-18,182,82,Senegal,Everton,English Premier League,1.0,73,73,60000,ST,Right,1,3,3,High/Medium,73.0,72.0,55.0,72.0,29.0,69.0,0,Forward,3,3205
3212,V. Laurini,Vincent Laurini,30,1989-06-10,173,72,France,Parma,Italian Serie A,1.0,73,73,30000,RB,Right,1,3,3,Medium/Medium,75.0,33.0,60.0,68.0,72.0,68.0,0,Defender,7,3212
3214,A. Maxim,Alexandru Iulian Maxim,28,1990-07-08,177,73,Romania,1. FSV Mainz 05,German 1. Bundesliga,1.0,73,73,20000,"CAM, CM, LM",Right,2,4,5,Medium/Medium,69.0,67.0,71.0,78.0,32.0,53.0,0,Midfielder,5,3214
3217,G. Lapadula,Gianluca Lapadula,29,1990-02-07,178,69,Italy,Lecce,Italian Serie A,1.0,73,73,15000,ST,Left,2,3,3,High/Medium,73.0,71.0,57.0,73.0,24.0,64.0,5,Forward,16,3217
3219,J. Gondorf,Jérôme Gondorf,31,1988-06-26,176,81,Germany,SC Freiburg,German 1. Bundesliga,1.0,73,73,20000,"CM, CDM",Right,2,4,3,High/High,65.0,63.0,73.0,72.0,67.0,78.0,0,Midfielder,2,3219
3224,Puertas,Antonio José Rodríguez Díaz,27,1992-02-21,183,77,Spain,Granada CF,Spain Primera Division,1.0,73,73,15000,"LM, RM",Right,1,3,3,Medium/Medium,78.0,71.0,65.0,74.0,40.0,67.0,5,Midfielder,23,3224
3231,S. Mendoza,John Stiven Mendoza Valencia,27,1992-06-27,171,70,Colombia,Amiens SC,French Ligue 1,1.0,73,73,15000,"LM, LW",Left,1,3,3,High/Medium,90.0,67.0,64.0,78.0,29.0,65.0,2,Forward,10,3231
3257,Andrei Girotto,Andrei Girotto,27,1992-02-17,186,79,Brazil,FC Nantes,French Ligue 1,1.0,73,73,20000,"CDM, CM",Right,1,2,2,Low/High,59.0,66.0,66.0,68.0,74.0,71.0,0,Midfielder,17,3257
3279,C. de Pena,Carlos María de Pena Bonino,27,1992-03-11,177,70,Uruguay,Dynamo Kyiv,Rest of World,0.0,73,73,1000,LM,Left,1,3,3,Medium/Medium,75.0,60.0,70.0,72.0,27.0,51.0,1,Midfielder,16,3279
3286,B. Dibassy,Bakaye Dibassy,29,1989-08-11,183,74,Mali,Amiens SC,French Ligue 1,1.0,73,73,15000,"LB, CB",Left,1,3,2,High/High,74.0,54.0,61.0,70.0,72.0,76.0,1,Defender,14,3286
3297,J. Dilrosun,Javairô Dilrosun,21,1998-06-22,174,74,Netherlands,Hertha BSC,German 1. Bundesliga,1.0,72,86,15000,"LM, RM",Left,1,2,3,Medium/Low,89.0,63.0,61.0,76.0,44.0,52.0,3,Forward,17,3297
3300,R. Nelson,Reiss Nelson,19,1999-12-10,175,71,England,Arsenal,English Premier League,1.0,72,85,30000,"RW, LW, LM",Right,1,4,4,High/Medium,88.0,65.0,60.0,79.0,34.0,47.0,0,Midfielder,10,3300
3302,D. Lainez,Diego Lainez Leyva,19,2000-06-09,167,58,Mexico,Real Betis,Spain Primera Division,1.0,72,85,10000,"RM, LM, CAM",Left,1,3,4,High/Medium,84.0,63.0,64.0,79.0,47.0,53.0,0,Midfielder,10,3302
3303,M. Aarons,Maximillian James Aarons,19,2000-01-04,178,73,England,Norwich City,English Premier League,1.0,72,85,15000,RB,Right,1,3,3,High/Medium,83.0,41.0,60.0,73.0,70.0,64.0,0,Defender,24,3303
3305,D. James,Daniel James,21,1997-11-10,170,76,Wales,Manchester United,English Premier League,1.0,72,84,50000,"LM, LW, RM",Right,1,4,3,High/Medium,94.0,61.0,63.0,73.0,27.0,57.0,3,Midfielder,25,3305
3308,M. Cuisance,Mickaël Cuisance,19,1999-08-16,181,74,France,FC Bayern München,German 1. Bundesliga,1.0,72,84,30000,CM,Left,1,3,4,High/Medium,71.0,67.0,77.0,75.0,53.0,54.0,0,Midfielder,3,3308
3313,J. Lewis,Jamal Lewis,21,1998-01-25,177,70,Northern Ireland,Norwich City,English Premier League,1.0,72,83,20000,LB,Left,1,3,3,High/Medium,79.0,51.0,60.0,70.0,70.0,66.0,0,Defender,16,3313
3315,F. Tomori,Fikayo Tomori,21,1997-12-19,185,75,England,Chelsea,English Premier League,1.0,72,83,40000,CB,Right,1,3,2,Medium/Medium,80.0,35.0,55.0,65.0,71.0,71.0,1,Defender,14,3315
3319,A. Caci,Anthony Caci,22,1997-07-01,184,70,France,RC Strasbourg Alsace,French Ligue 1,1.0,72,83,15000,"CB, LWB",Right,1,5,3,Medium/Medium,73.0,48.0,65.0,67.0,72.0,70.0,1,Midfielder,6,3319
3320,J. Torunarigha,Jordan Torunarigha,21,1997-08-07,191,80,Germany,Hertha BSC,German 1. Bundesliga,1.0,72,83,10000,"CB, LB",Left,1,2,2,High/Medium,74.0,33.0,53.0,61.0,73.0,72.0,1,Defender,7,3320
3323,A. Olsen,Andreas Skov Olsen,19,1999-12-29,188,75,Denmark,Bologna,Italian Serie A,1.0,72,83,15000,"RW, ST",Left,1,4,3,Medium/Low,84.0,72.0,63.0,73.0,35.0,68.0,1,Midfielder,17,3323
3325,C. Dagba,Colin Dagba,20,1998-09-09,170,62,France,Paris Saint-Germain,French Ligue 1,1.0,72,83,30000,RB,Right,1,2,3,High/Medium,83.0,50.0,68.0,77.0,68.0,57.0,0,Defender,10,3325
3331,S. Luperto,Sebastiano Luperto,22,1996-09-06,191,75,Italy,Napoli,Italian Serie A,1.0,72,82,30000,CB,Left,1,3,2,Medium/Medium,51.0,55.0,60.0,59.0,74.0,70.0,0,Defender,9,3331
3333,J. Boga,Jérémie Boga,22,1997-01-03,174,72,Ivory Coast,Sassuolo,Italian Serie A,1.0,72,82,30000,"LM, RM, ST",Right,1,3,3,High/Low,78.0,69.0,66.0,77.0,37.0,61.0,6,Midfielder,22,3333
3335,S. McKenna,Scott McKenna,22,1996-11-12,189,80,Scotland,Aberdeen,Scottish Premiership,1.0,72,82,6000,CB,Left,1,3,2,Medium/High,61.0,33.0,44.0,44.0,70.0,84.0,1,Defender,23,3335
3340,F. Ballo-Touré,Fodé Ballo-Touré,22,1997-01-03,182,73,France,AS Monaco,French Ligue 1,1.0,72,82,20000,"LB, LM",Left,1,3,3,High/Low,82.0,46.0,69.0,71.0,68.0,67.0,0,Defender,14,3340
3345,Manu Morlanes,Manuel Morlanes Ariño,20,1999-01-12,178,75,Spain,Villarreal CF,Spain Primera Division,1.0,72,82,15000,CM,Right,1,3,3,Medium/Medium,66.0,62.0,72.0,72.0,60.0,62.0,0,Midfielder,2,3345
3347,M. Targett,Matt Targett,23,1995-09-18,183,70,England,Aston Villa,English Premier League,1.0,72,81,30000,"LB, LWB",Left,1,2,3,High/Medium,72.0,42.0,69.0,70.0,70.0,64.0,1,Defender,18,3347
3352,Ronaldo Vieira,Ronaldo Augusto Vieira Nan,20,1998-07-19,178,70,England,Sampdoria,Italian Serie A,1.0,72,81,15000,"CDM, CM",Right,1,3,3,Medium/Medium,76.0,58.0,66.0,72.0,68.0,78.0,0,Midfielder,20,3352
3355,S. Vasiliadis,Sebastian Vasiliadis,21,1997-10-04,175,75,Germany,SC Paderborn 07,German 1. Bundesliga,1.0,72,81,15000,"CM, CDM, CAM",Right,1,3,3,Medium/Medium,74.0,59.0,68.0,72.0,63.0,71.0,1,Midfielder,21,3355
3357,A. Cerri,Alberto Cerri,23,1996-04-16,194,91,Italy,Cagliari,Italian Serie A,1.0,72,80,20000,ST,Right,1,3,3,Medium/Medium,59.0,72.0,54.0,68.0,39.0,75.0,1,Forward,11,3357
3358,S. Guirassy,Serhou Yadaly Guirassy,23,1996-03-12,187,82,France,Amiens SC,French Ligue 1,1.0,72,80,15000,"ST, LW",Right,1,3,4,Medium/Low,71.0,68.0,59.0,73.0,36.0,71.0,4,Forward,15,3358
3359,E. Fernandes,Edimilson Fernandes,23,1996-04-15,187,77,Switzerland,1. FSV Mainz 05,German 1. Bundesliga,1.0,72,80,15000,"CM, CDM",Right,1,4,3,Medium/Medium,72.0,67.0,67.0,71.0,60.0,72.0,0,Midfielder,15,3359
3361,S. Posch,Stefan Posch,22,1997-05-14,188,76,Austria,TSG 1899 Hoffenheim,German 1. Bundesliga,1.0,72,80,20000,CB,Right,1,3,2,Medium/Medium,59.0,29.0,43.0,38.0,75.0,68.0,0,Defender,18,3361
3364,M. Fares,Mohamed Salim Fares,23,1996-02-15,183,75,Algeria,SPAL,Italian Serie A,1.0,72,80,10000,"LM, LB, LW",Left,1,3,3,High/High,78.0,62.0,66.0,75.0,65.0,69.0,0,Midfielder,0,3364
3372,M. Maolida,Myziane Maolida,20,1999-02-14,182,76,France,OGC Nice,French Ligue 1,1.0,72,80,20000,"LW, ST",Right,1,4,4,Medium/Low,83.0,67.0,62.0,76.0,24.0,56.0,1,Forward,11,3372
3373,B. Tekpetey,Bernard Tekpetey,21,1997-09-03,172,69,Ghana,Fortuna Düsseldorf,German 1. Bundesliga,1.0,72,80,15000,"RM, ST, LM",Right,1,5,3,High/Medium,83.0,64.0,62.0,77.0,30.0,61.0,0,Forward,9,3373
3379,Brandon Thomas,Brandon Thomas Llamas,24,1995-02-04,173,71,Spain,CA Osasuna,Spain Primera Division,1.0,72,79,20000,"ST, LM",Right,1,3,4,High/Low,77.0,73.0,62.0,76.0,32.0,61.0,0,Forward,8,3379
3383,F. Vicari,Francesco Vicari,24,1994-08-03,190,80,Italy,SPAL,Italian Serie A,1.0,72,79,9000,CB,Right,1,2,2,Low/High,34.0,27.0,49.0,45.0,74.0,69.0,0,Defender,21,3383
3385,J. Brownhill,Josh Brownhill,23,1995-12-19,178,69,England,Bristol City,English League Championship,2.0,72,79,30000,"CM, CDM",Right,1,3,3,High/Medium,72.0,66.0,68.0,70.0,66.0,75.0,0,Midfielder,0,3385
3387,C. Gruezo,Carlos Armando Gruezo Arboleda,24,1995-04-19,171,67,Ecuador,FC Augsburg,German 1. Bundesliga,1.0,72,79,15000,"CDM, CM",Right,1,3,2,Low/High,59.0,46.0,62.0,66.0,69.0,76.0,0,Midfielder,2,3387
3388,A. Leya Iseka,Aaron Leya Iseka,21,1997-11-15,183,82,Belgium,Toulouse Football Club,French Ligue 1,1.0,72,79,15000,ST,Right,1,3,3,Medium/Medium,84.0,73.0,61.0,71.0,27.0,72.0,2,Forward,13,3388
3391,Sergi Palencia,Sergi Palencia Hurtado,23,1996-03-23,168,67,Spain,AS Saint-Étienne,French Ligue 1,1.0,72,79,15000,RB,Right,1,3,3,Medium/Medium,79.0,56.0,62.0,71.0,69.0,73.0,0,Defender,4,3391
3393,A. Calabresi,Arturo Calabresi,23,1996-03-17,186,75,Italy,Bologna,Italian Serie A,1.0,72,79,15000,"CB, RB",Right,1,3,2,High/Medium,59.0,30.0,48.0,54.0,73.0,71.0,1,Defender,12,3393
3394,E. Kwateng,Enock Kwateng,22,1997-04-09,181,75,France,FC Girondins de Bordeaux,French Ligue 1,1.0,72,79,15000,RB,Right,1,2,3,Medium/Medium,67.0,36.0,63.0,68.0,73.0,63.0,0,Defender,7,3394
3396,R. Sallai,Roland Sallai,22,1997-05-22,183,76,Hungary,SC Freiburg,German 1. Bundesliga,1.0,72,79,15000,LM,Right,1,3,3,Medium/Medium,74.0,67.0,67.0,74.0,37.0,58.0,0,Midfielder,9,3396
3397,O. Etebo,Oghenekaro Etebo,23,1995-11-09,176,70,Nigeria,Stoke City,English League Championship,2.0,72,79,20000,"CM, CDM",Right,1,4,3,High/High,81.0,64.0,68.0,76.0,72.0,79.0,0,Midfielder,3,3397
3399,J. Schouten,Jerdy Schouten,22,1997-01-12,185,72,Netherlands,Bologna,Italian Serie A,1.0,72,79,15000,"CDM, CM",Right,1,3,4,Medium/High,67.0,55.0,65.0,73.0,70.0,66.0,0,Forward,12,3399
3400,Marc Cardona,Marc Cardona Rovira,23,1995-07-08,183,70,Spain,CA Osasuna,Spain Primera Division,1.0,72,79,20000,"ST, LM",Right,1,3,3,Medium/Medium,75.0,70.0,58.0,72.0,26.0,56.0,1,Forward,12,3400
3402,J. Léa Siliki,James Edward Lea Siliki,23,1996-06-12,183,70,France,Stade Rennais FC,French Ligue 1,1.0,72,79,20000,"CM, CDM",Left,1,2,3,High/Low,71.0,69.0,71.0,74.0,68.0,67.0,0,Midfielder,13,3402
3405,Nacho Vidal,Ignacio Vidal Miralles,24,1995-01-24,180,75,Spain,CA Osasuna,Spain Primera Division,1.0,72,79,15000,"RB, RWB",Right,1,3,3,High/Medium,76.0,55.0,67.0,69.0,67.0,66.0,0,Defender,17,3405
3407,D. Vavro,Denis Vavro,23,1996-04-10,190,76,Slovakia,Lazio,Italian Serie A,1.0,72,79,20000,CB,Right,1,3,2,Medium/Medium,68.0,49.0,51.0,56.0,70.0,79.0,0,Defender,4,3407
3419,E. Koulouris,Efthymios Koulouris,23,1996-03-06,184,82,Greece,Toulouse Football Club,French Ligue 1,1.0,72,78,20000,ST,Right,1,3,3,High/Low,69.0,71.0,53.0,67.0,27.0,60.0,3,Forward,16,3419
3425,J. Otero,Juan Ferney Otero Tovar,24,1995-05-26,182,70,Colombia,Amiens SC,French Ligue 1,1.0,72,78,10000,"RM, ST, RW",Right,1,3,3,Medium/Medium,90.0,76.0,65.0,70.0,31.0,69.0,1,Forward,10,3425
3428,A. Bobichon,Antonin Bobichon,23,1995-09-14,178,75,France,Nîmes Olympique,French Ligue 1,1.0,72,78,15000,"CM, LM",Right,1,2,3,High/Low,73.0,72.0,72.0,73.0,56.0,66.0,0,Midfielder,9,3428
3432,A. Murgia,Alessandro Murgia,22,1996-08-09,185,78,Italy,SPAL,Italian Serie A,1.0,72,78,10000,"CM, CDM",Right,1,3,3,Medium/Medium,48.0,64.0,68.0,69.0,69.0,59.0,0,Midfielder,15,3432
3436,Domingos Duarte,Domingos Sousa Coutinho Meneses Duarte,24,1995-03-03,190,78,Portugal,Granada CF,Spain Primera Division,1.0,72,78,10000,CB,Right,1,3,2,Medium/Medium,45.0,35.0,46.0,51.0,73.0,77.0,2,Defender,23,3436
3440,B. Srarfi,Bassem Srarfi,22,1997-06-25,176,71,Tunisia,OGC Nice,French Ligue 1,1.0,72,78,20000,RW,Left,1,3,4,High/Low,78.0,67.0,69.0,77.0,32.0,49.0,0,Midfielder,2,3440
3441,L. Koutris,Leonardo Koutris,23,1995-07-23,171,72,Greece,Olympiacos CFP,Rest of World,0.0,72,78,1000,"LB, LM",Left,1,2,3,High/Medium,84.0,60.0,64.0,70.0,67.0,69.0,0,Defender,1,3441
3446,B. Osborn,Ben Osborn,24,1994-08-05,176,75,England,Sheffield United,English Premier League,1.0,72,77,20000,"LWB, LB, LM",Left,1,3,3,High/Medium,76.0,64.0,70.0,72.0,64.0,60.0,0,Forward,5,3446
3447,C. Jean,Corentin Jean,23,1995-07-15,170,66,France,Toulouse Football Club,French Ligue 1,1.0,72,77,15000,"RM, ST",Right,1,3,3,High/High,80.0,68.0,68.0,75.0,31.0,54.0,0,Forward,1,3447
3449,J. Jones,Jordan Lewis Jones,24,1994-10-24,174,61,Northern Ireland,Rangers FC,Scottish Premiership,1.0,72,77,30000,"LM, LW, CAM",Right,1,3,4,High/Medium,91.0,57.0,66.0,76.0,40.0,49.0,0,Midfielder,6,3449
3452,D. Sinkgraven,Daley Sinkgraven,23,1995-07-04,179,65,Netherlands,Bayer 04 Leverkusen,German 1. Bundesliga,1.0,72,77,30000,"LB, CM",Left,1,3,4,High/Low,79.0,59.0,74.0,79.0,66.0,62.0,0,Midfielder,8,3452
3457,David Costas,David Costas Cordal,24,1995-03-26,184,71,Spain,RC Celta,Spain Primera Division,1.0,72,77,15000,CB,Right,1,3,2,Medium/Medium,64.0,43.0,64.0,65.0,72.0,65.0,0,Defender,6,3457
3459,F. Mattiello,Federico Mattiello,23,1995-07-14,184,70,Italy,Cagliari,Italian Serie A,1.0,72,77,20000,"RM, LM",Left,1,4,3,High/High,75.0,64.0,71.0,74.0,69.0,65.0,0,Defender,4,3459
3460,L. Mazzitelli,Luca Mazzitelli,23,1995-11-15,187,76,Italy,Sassuolo,Italian Serie A,1.0,72,77,30000,"CM, CDM",Right,1,4,2,Medium/Medium,57.0,55.0,71.0,71.0,64.0,63.0,0,Midfielder,1,3460
3463,C. Akolo,Chadrac Akolo,24,1995-04-01,172,72,DR Congo,Amiens SC,French Ligue 1,1.0,72,77,10000,"RM, CAM, ST",Right,1,3,3,High/Medium,81.0,68.0,63.0,78.0,26.0,61.0,1,Forward,10,3463
3468,M. Gakpa,Marvin Gakpa,25,1993-11-01,182,70,France,FC Metz,French Ligue 1,1.0,72,77,15000,"CM, LM",Left,1,2,4,Medium/Medium,79.0,63.0,71.0,75.0,50.0,62.0,0,Midfielder,8,3468
3475,N. Ampomah,Nana Opoku Ampomah,23,1996-01-02,175,68,Ghana,Fortuna Düsseldorf,German 1. Bundesliga,1.0,72,77,20000,"LM, ST",Right,1,5,4,High/Medium,85.0,67.0,61.0,77.0,27.0,66.0,0,Midfielder,11,3475
3494,C. Benavente,Cristian Benavente Bristol,25,1994-05-19,172,68,Peru,FC Nantes,French Ligue 1,1.0,72,76,15000,"CAM, LM, CF",Left,1,5,4,Medium/Low,73.0,69.0,68.0,74.0,34.0,45.0,0,Midfielder,9,3494
3496,R. Azeez,Ramon Olamilekan Azeez,26,1992-12-12,170,67,Nigeria,Granada CF,Spain Primera Division,1.0,72,76,15000,"CDM, CM, CAM",Right,1,3,3,Medium/High,68.0,57.0,65.0,67.0,68.0,70.0,2,Midfielder,16,3496
3500,S. Moreira,Steven Moreira,24,1994-08-13,179,75,France,Toulouse Football Club,French Ligue 1,1.0,72,76,15000,"RB, CB",Right,1,2,3,High/Medium,68.0,32.0,67.0,65.0,71.0,67.0,0,Defender,10,3500
3503,S. Schonlau,Sebastian Schonlau,24,1994-08-05,185,77,Germany,SC Paderborn 07,German 1. Bundesliga,1.0,72,76,15000,CB,Right,1,3,2,Medium/Medium,66.0,36.0,52.0,56.0,72.0,72.0,2,Defender,16,3503
3511,S. Khaoui,Saîf-Eddine Khaoui,24,1995-04-27,182,68,Tunisia,Olympique de Marseille,French Ligue 1,1.0,72,76,20000,"CAM, RM",Left,1,3,3,Medium/Low,72.0,64.0,73.0,74.0,38.0,54.0,0,Forward,5,3511
3513,M. Bani,Mattia Bani,25,1993-12-10,188,81,Italy,Bologna,Italian Serie A,1.0,72,76,20000,CB,Right,1,2,2,Medium/High,60.0,18.0,38.0,52.0,73.0,72.0,4,Defender,20,3513
3540,S. Byram,Sam Byram,25,1993-09-16,183,72,England,Norwich City,English Premier League,1.0,72,75,30000,RB,Right,1,3,3,High/Medium,71.0,60.0,66.0,72.0,70.0,68.0,0,Defender,17,3540
3541,O. Nguette,Opa Nguette,24,1994-07-08,182,76,Senegal,FC Metz,French Ligue 1,1.0,72,75,15000,"LW, LM",Right,1,3,4,High/Medium,85.0,63.0,64.0,75.0,41.0,60.0,2,Forward,16,3541
3549,J. Toljan,Jeremy Toljan,24,1994-08-08,182,74,Germany,Sassuolo,Italian Serie A,1.0,72,75,30000,"RB, LB",Right,2,4,3,Medium/Medium,87.0,42.0,62.0,70.0,66.0,68.0,1,Defender,21,3549
3560,J. Riedewald,Jaïro Riedewald,22,1996-09-09,182,79,Netherlands,Crystal Palace,English Premier League,1.0,72,75,30000,"CB, CDM",Left,1,3,3,Medium/Medium,64.0,51.0,68.0,68.0,72.0,66.0,0,Defender,8,3560
3561,E. Thommy,Erik Thommy,24,1994-08-20,174,70,Germany,Fortuna Düsseldorf,German 1. Bundesliga,1.0,72,75,20000,"LM, CAM, RM",Right,1,3,3,Medium/Medium,77.0,67.0,71.0,75.0,33.0,52.0,3,Midfielder,22,3561
3575,A. Sedlar,Aleksandar Sedlar,27,1991-12-13,178,79,Serbia,RCD Mallorca,Spain Primera Division,1.0,72,75,15000,CB,Right,1,3,2,Medium/High,57.0,40.0,49.0,47.0,71.0,78.0,0,Defender,3,3575
3585,C. Zimmermann,Christoph Zimmermann,26,1993-01-12,194,92,Germany,Norwich City,English Premier League,1.0,72,75,30000,CB,Right,1,3,2,Medium/High,53.0,33.0,43.0,44.0,72.0,78.0,0,Defender,15,3585
3587,J. El Yamiq,Jawad El Yamiq,27,1992-02-29,190,83,Morocco,Genoa,Italian Serie A,1.0,72,75,10000,CB,Right,1,3,2,Medium/Medium,67.0,41.0,48.0,58.0,72.0,71.0,0,Defender,3,3587
3607,K. Sema,Ken Sema,25,1993-09-30,180,69,Sweden,Watford,English Premier League,1.0,72,74,40000,"LM, RM",Left,1,3,3,Medium/Medium,78.0,66.0,69.0,75.0,42.0,68.0,0,Midfielder,0,3607
3643,K. McLean,Kenny McLean,27,1992-01-08,183,70,Scotland,Norwich City,English Premier League,1.0,72,73,30000,"CM, CAM, CDM",Left,1,3,3,High/High,74.0,69.0,68.0,73.0,60.0,70.0,1,Midfielder,25,3643
3657,R. Ripart,Renaud Ripart,26,1993-03-14,181,73,France,Nîmes Olympique,French Ligue 1,1.0,72,73,20000,"ST, LM, RB",Right,1,3,3,Medium/High,73.0,73.0,66.0,71.0,60.0,67.0,4,Forward,16,3657
3672,R. Emond,Renaud Emond,27,1991-12-05,186,73,Belgium,Standard de Liège,Belgian Jupiler Pro League,1.0,72,73,15000,ST,Right,1,3,2,Medium/Low,66.0,72.0,55.0,62.0,27.0,67.0,0,Forward,2,3672
3699,G. Pazzini,Giampaolo Pazzini,34,1984-08-02,180,78,Italy,Hellas Verona,Italian Serie A,1.0,72,72,15000,ST,Right,2,3,3,Medium/Medium,56.0,68.0,56.0,69.0,34.0,65.0,3,Forward,8,3699
3709,C. Jallet,Christophe Jallet,35,1983-10-31,178,70,France,Amiens SC,French Ligue 1,1.0,72,72,9000,"RB, LB",Right,2,3,3,High/Medium,55.0,59.0,73.0,72.0,73.0,68.0,1,Midfielder,9,3709
3710,E. Barreto,Édgar Osvaldo Barreto Cáceres,34,1984-07-15,180,79,Paraguay,Sampdoria,Italian Serie A,1.0,72,72,20000,CM,Right,2,4,3,Medium/High,59.0,66.0,72.0,68.0,73.0,67.0,0,Midfielder,2,3710
3716,K. Reichel,Ken Reichel,32,1986-12-19,185,84,Germany,1. FC Union Berlin,German 1. Bundesliga,1.0,72,72,20000,LB,Left,1,3,3,High/Medium,68.0,68.0,66.0,67.0,71.0,75.0,0,Defender,2,3716
3721,P. Bardsley,Phil Bardsley,34,1985-06-28,180,79,Scotland,Burnley,English Premier League,1.0,72,72,20000,RB,Right,1,3,3,Medium/Medium,51.0,58.0,66.0,68.0,75.0,72.0,0,Defender,11,3721
3735,M. Suttner,Markus Suttner,32,1987-04-16,179,74,Austria,Fortuna Düsseldorf,German 1. Bundesliga,1.0,72,72,20000,"LB, LWB",Left,1,3,3,High/Medium,66.0,58.0,72.0,72.0,70.0,67.0,0,Defender,10,3735
3736,S. Floccari,Sergio Floccari,37,1981-11-12,180,79,Italy,SPAL,Italian Serie A,1.0,72,72,9000,ST,Right,2,3,3,Medium/Low,59.0,73.0,61.0,71.0,27.0,58.0,0,Forward,19,3736
3744,P. Kone,Panagiotis Giorgios Kone,31,1987-07-26,182,75,Greece,Western United FC,Australian Hyundai A-League,1.0,72,72,3000,"CAM, CM, CF",Right,2,3,3,Medium/Medium,70.0,72.0,70.0,71.0,50.0,63.0,0,Midfielder,7,3744
3746,F. Ceravolo,Fabio Giovanni Ceravolo,32,1987-03-05,180,73,Italy,Parma,Italian Serie A,1.0,72,72,30000,ST,Right,1,3,3,Medium/Medium,74.0,71.0,60.0,74.0,33.0,66.0,0,Forward,0,3746
3752,A. Ramos,Gustavo Adrián Ramos Vásquez,33,1986-01-22,186,78,Colombia,Granada CF,Spain Primera Division,1.0,72,72,15000,ST,Right,2,3,3,Medium/Medium,73.0,70.0,64.0,69.0,46.0,66.0,0,Forward,7,3752
3769,D. McGoldrick,David McGoldrick,31,1987-11-29,183,74,Republic of Ireland,Sheffield United,English Premier League,1.0,72,72,30000,ST,Right,1,3,3,Medium/Medium,66.0,71.0,67.0,72.0,33.0,67.0,0,Forward,19,3769
3809,F. Cacciatore,Fabrizio Cacciatore,32,1986-10-08,182,85,Italy,Cagliari,Italian Serie A,1.0,72,72,20000,"RB, LB",Right,1,3,2,Medium/Medium,68.0,53.0,60.0,63.0,73.0,74.0,0,Defender,11,3809
3810,A. Budimir,Ante Budimir,27,1991-07-22,190,75,Croatia,RCD Mallorca,Spain Primera Division,1.0,72,72,20000,ST,Left,2,4,3,Medium/High,59.0,73.0,44.0,64.0,34.0,72.0,8,Forward,23,3810
3818,L. Siligardi,Luca Siligardi,31,1988-01-26,180,72,Italy,Parma,Italian Serie A,1.0,72,72,30000,"RW, LW, LM",Left,1,3,3,Medium/Low,75.0,68.0,71.0,77.0,37.0,59.0,0,Midfielder,4,3818
3819,Thiago Cionek,Thiago Rangel Cionek,33,1986-04-21,183,80,Poland,SPAL,Italian Serie A,1.0,72,72,10000,CB,Right,1,3,2,Medium/High,63.0,26.0,44.0,52.0,72.0,74.0,0,Defender,18,3819
3824,A. Rispoli,Andrea Rispoli,30,1988-09-29,188,83,Italy,Lecce,Italian Serie A,1.0,72,72,10000,"RB, RM",Right,1,3,3,High/Medium,81.0,64.0,66.0,69.0,68.0,77.0,0,Defender,19,3824
3831,Y. Ravet,Yoric Ravet,29,1989-09-12,178,79,France,SC Freiburg,German 1. Bundesliga,1.0,72,72,20000,RM,Right,1,3,3,Medium/Medium,73.0,68.0,72.0,73.0,38.0,59.0,0,Forward,0,3831
3832,P. Tachtsidis,Panagiotis Tachtsidis,28,1991-02-15,191,86,Greece,Lecce,Italian Serie A,1.0,72,72,15000,CM,Left,2,3,3,Medium/Medium,49.0,59.0,73.0,64.0,67.0,77.0,0,Midfielder,17,3832
3838,J. Schieber,Julian Schieber,30,1989-02-13,186,83,Germany,FC Augsburg,German 1. Bundesliga,1.0,72,72,20000,ST,Left,2,2,3,High/Medium,58.0,74.0,58.0,64.0,30.0,71.0,0,Forward,2,3838
