,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic
8907,J. Szumski,Jakub Szumski,28,1992-03-06,194,78,Poland,Raków Częstochowa,Polish T-Mobile Ekstraklasa,1.0,66,69,2000,GK,Right,1,3,1,Medium/Medium,,,,,,
8908,L. Bostyn,Louis Bostyn,26,1993-10-04,196,86,Belgium,SV Zulte-Waregem,Belgian Jupiler Pro League,1.0,66,69,3000,GK,Right,1,3,1,Medium/Medium,,,,,,
8909,A. Cairns,Alex Cairns,27,1993-01-04,183,72,England,Fleetwood Town,English League One,3.0,66,69,3000,GK,Left,1,3,1,Medium/Medium,,,,,,
8910,C. Edwards,Curtis Edwards,26,1994-01-12,180,70,England,Djurgårdens IF,Swedish Allsvenskan,1.0,66,69,3000,CM,Right,1,4,3,High/Medium,54.0,65.0,67.0,66.0,58.0,63.0
8911,J. Alnwick,Jak Alnwick,27,1993-06-17,188,82,England,St. Mirren,Scottish Premiership,1.0,66,69,2000,GK,Left,1,2,1,Medium/Medium,,,,,,
8912,T. Grøgaard,Thomas Grøgaard,26,1994-02-08,180,73,Norway,SK Brann,Norwegian Eliteserien,1.0,66,69,2000,LB,Left,1,2,3,High/Medium,75.0,45.0,61.0,65.0,61.0,68.0
8913,I. Touray,Ibou Touray,25,1994-07-24,177,68,Gambia,Salford City,English League Two,4.0,66,69,5000,"LB, LWB",Left,1,3,2,High/High,84.0,50.0,60.0,63.0,58.0,71.0
8914,J. Naismith,Jason Naismith,26,1994-06-25,188,83,Scotland,Peterborough United,English League One,3.0,66,69,4000,RB,Right,1,3,2,Medium/Medium,75.0,47.0,59.0,61.0,61.0,77.0
8915,O. Bulut,Onur Bulut,26,1994-04-16,179,69,Germany,Alanyaspor,Turkish Süper Lig,1.0,66,69,4000,"RB, RM, RW",Right,1,4,2,Medium/High,74.0,54.0,64.0,65.0,59.0,70.0
8916,J. Haugaard,Jakob Haugaard,28,1992-05-01,199,99,Denmark,AIK,Swedish Allsvenskan,1.0,66,69,2000,GK,Left,1,3,1,Medium/Medium,,,,,,
8917,L. Vigen,Lasse Vigen Christensen,25,1994-08-15,180,80,Denmark,Brøndby IF,Danish Superliga,1.0,66,69,6000,CM,Right,1,3,3,High/High,73.0,59.0,65.0,67.0,59.0,66.0
8918,A. Uryga,Alan Uryga,26,1994-02-19,191,85,Poland,Wisła Płock,Polish T-Mobile Ekstraklasa,1.0,66,69,2000,CB,Right,1,2,2,Low/Medium,52.0,43.0,54.0,44.0,63.0,77.0
8919,T. Watt,Tony Watt,26,1993-12-29,182,76,Scotland,Motherwell,Scottish Premiership,1.0,66,69,3000,ST,Right,1,3,3,Medium/Low,73.0,67.0,48.0,68.0,25.0,72.0
8920,D. Wright,Drey Jermaine Wright,25,1995-04-30,175,69,England,Hibernian,Scottish Premiership,1.0,66,69,3000,RM,Right,1,4,3,High/High,76.0,57.0,59.0,71.0,51.0,68.0
8921,B. Finne,Bård Finne,25,1995-02-13,173,70,Norway,Vålerenga Fotball,Norwegian Eliteserien,1.0,66,69,2000,LW,Right,1,3,3,Medium/Medium,77.0,64.0,56.0,70.0,23.0,63.0
8922,K. Triantafyllopoulos,Konstantinos Triantafyllopoulos,27,1993-04-03,185,80,Greece,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,1.0,66,69,2000,CB,Right,1,3,2,Medium/High,64.0,27.0,50.0,49.0,63.0,80.0
8923,B. Edomwonyi,Bright Osagie Edomwonyi,25,1994-07-24,186,78,Nigeria,FK Austria Wien,Austrian Football Bundesliga,1.0,66,69,6000,"ST, LM",Right,1,3,3,Medium/Low,85.0,62.0,52.0,67.0,29.0,71.0
8924,E. Lee,Elliott Lee,25,1994-12-16,180,72,England,Luton Town,English League Championship,2.0,66,69,4000,"CAM, ST",Right,1,3,3,Medium/Medium,72.0,64.0,63.0,67.0,41.0,62.0
8925,B. Smith,Brad Smith,26,1994-04-09,177,70,Australia,,,,66,69,0,LB,Left,1,3,2,High/Medium,78.0,43.0,58.0,64.0,62.0,64.0
8926,G. Zhukov,Georgiy Zhukov,25,1994-11-19,172,76,Kazakhstan,Wisła Kraków,Polish T-Mobile Ekstraklasa,1.0,66,69,2000,"CM, CDM",Right,1,3,3,High/High,73.0,57.0,66.0,71.0,51.0,69.0
8927,M. Al Olayan,Madallah Ali Alolayan,25,1994-08-25,170,66,Saudi Arabia,Al Hilal,Saudi Abdul L. Jameel League,1.0,66,69,9000,"RB, CDM",Right,1,2,2,Medium/Medium,69.0,46.0,61.0,64.0,61.0,71.0
8928,S. Al Shehri,Saleh Khalid Al Shehri,26,1993-11-01,182,77,Saudi Arabia,Al Hilal,Saudi Abdul L. Jameel League,1.0,66,69,12000,ST,Right,1,3,3,Medium/Medium,63.0,66.0,45.0,62.0,23.0,70.0
8929,L. Bertone,Leonardo Bertone,26,1994-03-14,179,74,Switzerland,Waasland-Beveren,Belgian Jupiler Pro League,1.0,66,69,3000,"CDM, CM",Right,1,3,2,Medium/Medium,65.0,64.0,65.0,63.0,62.0,68.0
8930,P. Konate,Pa Momodou Konate,26,1994-04-25,175,72,Guinea,Rosenborg BK,Norwegian Eliteserien,1.0,66,69,2000,LB,Left,1,2,2,High/Medium,71.0,40.0,59.0,63.0,62.0,60.0
8931,M. Uhre,Mikael Uhre,25,1994-09-30,188,86,Denmark,Brøndby IF,Danish Superliga,1.0,66,69,6000,ST,Right,1,4,2,High/Medium,87.0,63.0,47.0,65.0,33.0,72.0
8932,A. Madu,Abdullah Mohammed Madu,26,1993-07-15,186,86,Saudi Arabia,Al Nassr,Saudi Abdul L. Jameel League,1.0,66,69,9000,CB,Left,1,3,2,Low/Medium,41.0,26.0,42.0,39.0,65.0,77.0
8933,R. Ureña,Rodrigo Andrés Ureña Reyes,27,1993-03-01,178,71,Chile,América de Cali,Colombian Liga Postobón,1.0,66,69,500,"CDM, CM, RB",Right,1,3,2,Medium/High,62.0,51.0,57.0,64.0,64.0,72.0
8934,G. Iñiguez,Gaspar Emmanuel Iñíguez,26,1994-03-26,172,77,Argentina,Coquimbo Unido,Chilian Campeonato Nacional,1.0,66,69,1000,"CM, CDM",Right,1,3,3,Medium/Medium,66.0,53.0,64.0,68.0,62.0,71.0
8935,A. Maraval,Axel Maraval,26,1993-10-20,183,77,France,USL Dunkerque,French Ligue 2,2.0,66,69,2000,GK,Right,1,2,1,Medium/Medium,,,,,,
8936,T. Lumanza Lembi,Tortol Lumanza Lembi,26,1994-04-13,178,70,Belgium,Stabæk Fotball,Norwegian Eliteserien,1.0,66,69,2000,"CM, CDM",Right,1,4,3,Medium/High,69.0,55.0,64.0,69.0,62.0,72.0
8937,D. Islamović,Dino Islamović,26,1994-01-17,190,87,Montenegro,Rosenborg BK,Norwegian Eliteserien,1.0,66,69,3000,ST,Left,1,2,2,Low/Low,62.0,69.0,57.0,62.0,29.0,72.0
8938,G. Honeyman,George Honeyman,25,1994-09-08,170,72,England,Hull City,English League One,3.0,66,69,3000,"CAM, CM",Right,1,3,3,High/High,72.0,61.0,64.0,71.0,61.0,66.0
8939,P. Bijen,Peet Bijen,25,1995-01-28,189,87,Netherlands,ADO Den Haag,Holland Eredivisie,1.0,66,69,3000,CB,Right,1,2,2,Medium/Medium,52.0,39.0,48.0,58.0,65.0,74.0
8940,R. Hedges,Ryan Hedges,24,1995-07-08,185,70,Wales,Aberdeen,Scottish Premiership,1.0,66,69,2000,"RM, LM",Left,1,3,3,Medium/Medium,76.0,60.0,61.0,68.0,39.0,58.0
8941,J. Grant,Jorge Grant,25,1994-09-26,178,72,England,Lincoln City,English League One,3.0,66,69,4000,LM,Right,1,4,4,Medium/Medium,68.0,62.0,66.0,68.0,48.0,66.0
8942,S. Chakla,Sofian Chakla,26,1993-09-02,186,77,Morocco,Villarreal CF,Spain Primera Division,1.0,66,69,8000,CB,Right,1,3,2,Medium/Medium,53.0,32.0,48.0,49.0,65.0,68.0
8943,J. Brondeel,Jorn Brondeel,26,1993-09-07,188,84,Belgium,Willem II,Holland Eredivisie,1.0,66,69,3000,GK,Right,1,2,1,Medium/Medium,,,,,,
8944,João Afonso,João Afonso Crispim,25,1995-02-09,181,81,Brazil,Gil Vicente FC,Portuguese Liga ZON SAGRES,1.0,66,69,3000,"CDM, CM",Right,1,3,2,Medium/Medium,63.0,45.0,56.0,62.0,64.0,74.0
8945,L. Kelly,Liam Kelly,24,1995-11-22,163,74,Republic of Ireland,Oxford United,English League One,3.0,66,69,3000,"CM, CDM",Right,1,2,2,Medium/Medium,66.0,62.0,69.0,68.0,56.0,42.0
8946,M. Hairston,Marlon Hairston,26,1994-03-23,183,71,United States,Minnesota United FC,USA Major League Soccer,1.0,66,69,2000,"RB, RWB, RM",Right,1,3,2,High/Medium,76.0,58.0,58.0,65.0,59.0,64.0
8947,T. Rieder,Tim Rieder,26,1993-09-03,186,77,Germany,1. FC Kaiserslautern,German 3. Bundesliga,3.0,66,69,2000,"CDM, CB, RB",Right,1,3,2,Medium/Medium,62.0,33.0,51.0,52.0,67.0,73.0
8948,L. Pirard,Lucas Pirard,25,1995-03-10,191,91,Belgium,Waasland-Beveren,Belgian Jupiler Pro League,1.0,66,69,2000,GK,Right,1,2,1,Medium/Medium,,,,,,
8949,R. Gall,Romain Gall,25,1995-01-31,175,63,United States,Örebro SK,Swedish Allsvenskan,1.0,66,69,2000,LM,Right,1,4,4,High/Low,82.0,64.0,59.0,70.0,39.0,46.0
8950,Grego Sierra,Gregorio Sierra Pérez,27,1993-03-05,186,81,Spain,CE Sabadell FC,Spanish Segunda División,2.0,66,69,3000,"CB, CDM",Left,1,3,2,Medium/Medium,56.0,50.0,52.0,55.0,67.0,65.0
8951,B. Gueye,Babacar Gueye,25,1994-12-31,192,84,Senegal,Karlsruher SC,German 2. Bundesliga,2.0,66,69,4000,ST,Right,1,3,2,Medium/Low,64.0,64.0,42.0,62.0,21.0,72.0
8952,M. Burgess,Max Burgess,25,1995-01-16,185,70,Australia,Western United FC,Australian Hyundai A-League,1.0,66,69,1000,"LW, CAM",Left,1,2,3,Medium/Medium,77.0,60.0,62.0,68.0,39.0,66.0
8953,Lee Yeong Jae,이영재 李荣载,25,1994-09-13,174,60,Korea Republic,Gangwon FC,Korean K League Classic,1.0,66,69,3000,"CM, LM",Left,1,3,3,Medium/Medium,74.0,59.0,62.0,67.0,55.0,54.0
8954,R. Civelek,Ramazan Civelek,24,1996-01-22,172,65,Turkey,Fatih Karagümrük S.K.,Turkish Süper Lig,1.0,66,69,4000,RM,Right,1,3,3,High/Medium,77.0,56.0,60.0,68.0,30.0,56.0
8955,A. Bardakcı,Abdülkerim Bardakcı,25,1994-09-07,190,80,Turkey,Atiker Konyaspor,Turkish Süper Lig,1.0,66,69,5000,CB,Left,1,2,2,Medium/Medium,52.0,32.0,47.0,53.0,66.0,73.0
8956,Romário Baldé,Romário Baldé,23,1996-12-25,177,75,Guinea Bissau,Gil Vicente FC,Portuguese Liga ZON SAGRES,1.0,66,69,3000,"RW, LW",Right,1,3,3,Medium/Low,77.0,64.0,55.0,72.0,31.0,68.0
8957,J. Vásquez,Jhon Freduar Vásquez Anaya,25,1995-02-12,176,78,Colombia,Deportivo Cali,Colombian Liga Postobón,1.0,66,69,1000,"RM, ST",Right,1,3,3,Medium/Medium,79.0,64.0,60.0,68.0,23.0,71.0
8958,Adri Castellano,Adrián Rafael Castellano Cobacho,26,1994-06-26,180,73,Spain,SD Ponferradina,Spanish Segunda División,2.0,66,69,3000,"CB, LB",Left,1,3,2,Medium/Medium,61.0,35.0,57.0,65.0,66.0,66.0
8959,M. Sanoh,Moussa Sanoh,24,1995-07-20,170,62,Netherlands,Gaz Metan Mediaş,Romanian Liga I,1.0,66,69,3000,"RM, RW",Right,1,2,3,Medium/Medium,82.0,64.0,60.0,67.0,38.0,72.0
8960,R. Maeda,前田 凌佑,26,1994-04-27,173,68,Japan,Oita Trinita,Japanese J. League Division 1,1.0,66,69,2000,"CM, CDM",Right,1,3,2,Medium/Medium,67.0,50.0,61.0,62.0,57.0,70.0
8961,P. Brlek,Petar Brlek,26,1994-01-29,180,74,Croatia,Genoa,Italian Serie A,1.0,66,69,5000,"CM, CAM, CDM",Right,1,3,3,High/Medium,64.0,63.0,65.0,66.0,53.0,66.0
8962,M. Villanueva,Mikel Villanueva Álvarez,27,1993-04-14,192,77,Venezuela,Santa Clara,Portuguese Liga ZON SAGRES,1.0,66,69,2000,"CB, LB",Left,1,3,2,Low/High,54.0,39.0,54.0,49.0,63.0,78.0
8963,E. Moore,Elliott Jordan Moore,23,1997-03-16,197,92,England,Oxford United,English League One,3.0,66,69,3000,CB,Right,1,2,2,Medium/High,48.0,31.0,45.0,45.0,65.0,76.0
8964,J. Aja,José Manuel Aja Livchich,27,1993-05-10,193,84,Uruguay,Minnesota United FC,USA Major League Soccer,1.0,66,69,2000,CB,Right,1,3,2,Low/High,59.0,37.0,40.0,46.0,64.0,77.0
8965,C. Colmán,Cristian Ariel Colmán Ortíz,26,1994-02-26,185,79,Paraguay,Barcelona Sporting Club,Ecuadorian Serie A,1.0,66,69,500,ST,Right,1,3,3,Medium/Medium,72.0,65.0,45.0,66.0,26.0,65.0
8966,J. Lorch,Jeremias Lorch,24,1995-12-02,188,79,Germany,Viktoria Köln,German 3. Bundesliga,3.0,66,69,1000,"CDM, CM, RB",Right,1,4,2,High/High,65.0,46.0,58.0,60.0,65.0,75.0
8967,A. Zreľák,Adam Zreľák,26,1994-05-05,183,82,Slovakia,1. FC Nürnberg,German 2. Bundesliga,2.0,66,69,4000,ST,Left,1,4,2,Medium/High,67.0,66.0,43.0,62.0,30.0,75.0
8968,G. Giakoumakis,Georgios Giakoumakis,25,1994-12-09,186,86,Greece,VVV-Venlo,Holland Eredivisie,1.0,66,69,3000,ST,Right,1,3,2,Medium/Medium,68.0,66.0,43.0,62.0,28.0,75.0
8969,R. Taylor,Robert Taylor,25,1994-10-21,183,80,Finland,SK Brann,Norwegian Eliteserien,1.0,66,69,2000,LW,Right,1,3,3,Medium/Medium,78.0,64.0,62.0,67.0,52.0,71.0
8970,W. Riveros,Williams Ismael Riveros Ibáñez,27,1992-11-20,179,76,Paraguay,Barcelona Sporting Club,Ecuadorian Serie A,1.0,66,69,500,CB,Right,1,3,2,Low/High,59.0,33.0,44.0,45.0,66.0,69.0
8971,M. Ortíz,Mauro Gabriel Ortiz,25,1994-09-27,162,64,Argentina,Club Atlético Talleres,Argentina Primera División,1.0,66,69,5000,RW,Right,1,3,3,Medium/Low,75.0,56.0,67.0,70.0,44.0,43.0
8972,C. Akas,Chima Akas Uche,26,1994-05-03,188,90,Nigeria,Os Belenenses,Portuguese Liga ZON SAGRES,1.0,66,69,2000,"LWB, CB",Left,1,2,2,High/Medium,66.0,40.0,52.0,63.0,62.0,78.0
8973,F. Rieder,Florian Rieder,24,1996-05-16,174,69,Austria,WSG Tirol,Austrian Football Bundesliga,1.0,66,69,3000,"RM, CM, CAM",Right,1,3,3,High/High,73.0,51.0,64.0,67.0,56.0,66.0
8974,A. Traoré,Adama Traoré,25,1995-06-05,177,74,Mali,FC Metz,French Ligue 1,1.0,66,69,5000,"LM, RM",Left,1,2,3,High/Low,86.0,60.0,55.0,68.0,17.0,58.0
8975,S. Lawson,Tevi Steve Lawson,25,1994-08-08,179,77,Togo,Livingston FC,Scottish Premiership,1.0,66,69,2000,"CDM, CM",Right,1,3,2,Medium/High,75.0,50.0,61.0,67.0,63.0,70.0
8976,S. Bjørshol,Sondre Flem Bjørshol,26,1994-04-30,184,72,Norway,Viking FK,Norwegian Eliteserien,1.0,66,69,2000,RB,Right,1,2,2,High/Medium,76.0,27.0,55.0,61.0,60.0,71.0
8977,Robinho,Francisco Wellington Barbosa de Lisboa,25,1995-01-19,166,67,Brazil,Orlando City SC,USA Major League Soccer,1.0,66,69,3000,"LM, RM",Right,1,3,4,High/Medium,84.0,55.0,59.0,72.0,36.0,52.0
8978,D. Crnomarković,Đorđe Crnomarković,26,1993-09-10,188,77,Serbia,Lech Poznań,Polish T-Mobile Ekstraklasa,1.0,66,69,3000,CB,Left,1,3,2,Medium/Medium,69.0,27.0,42.0,43.0,65.0,72.0
8979,Alex Suárez,José Alejandro Suárez Suárez,27,1993-03-10,179,74,Spain,UD Las Palmas,Spanish Segunda División,2.0,66,69,3000,"CB, RB",Right,1,3,2,Medium/Medium,70.0,36.0,52.0,50.0,66.0,65.0
8980,M. Gottschling,Marcel Gottschling,26,1994-05-14,183,72,Germany,Viktoria Köln,German 3. Bundesliga,3.0,66,69,2000,"RB, RM, CAM",Right,1,5,3,High/High,79.0,57.0,58.0,66.0,58.0,69.0
8981,E. Kardeşler,Erce Kardeşler,26,1994-03-14,184,79,Turkey,Trabzonspor,Turkish Süper Lig,1.0,66,69,6000,GK,Right,1,2,1,Medium/Medium,,,,,,
8982,A. Abdi,Ali Abdi,26,1993-12-20,183,73,Tunisia,Paris FC,French Ligue 2,2.0,66,69,3000,LB,Left,1,3,2,High/Medium,81.0,41.0,58.0,64.0,58.0,68.0
8983,R. Abascal,Rodrigo Abascal Barros,26,1994-01-14,187,87,Uruguay,Peñarol,Uruguayan Primera División,1.0,66,69,500,CB,Left,1,3,2,Low/High,65.0,44.0,49.0,54.0,64.0,79.0
8984,J. Corozo,Janner Hitcler Corozo Alman,24,1995-08-09,175,64,Ecuador,Delfín SC,Ecuadorian Serie A,1.0,66,69,500,RW,Right,1,3,3,High/Medium,78.0,47.0,59.0,68.0,53.0,71.0
8985,C. Melgar,Carlos Antonio Melgar Vargas,26,1994-04-11,170,69,Bolivia,Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,1.0,66,69,500,CAM,Right,1,3,3,High/Medium,71.0,63.0,65.0,70.0,52.0,60.0
8986,L. Flores,Leonardo José Flores Soto,24,1995-08-04,176,69,Venezuela,Caracas FC,Venezuelan Primera División,1.0,66,69,500,"LM, CM",Left,1,3,3,High/Low,69.0,53.0,61.0,67.0,34.0,58.0
8987,A. Albu,Cristian Alexandru Albu,26,1993-08-17,188,70,Romania,UTA Arad,Romanian Liga I,1.0,66,69,2000,"CB, CDM",Left,1,3,2,Medium/Medium,58.0,39.0,48.0,51.0,64.0,77.0
8988,J. Candia,Jhonatan Marcelo Candia Hernández,25,1995-03-15,177,73,Uruguay,Arsenal de Sarandí,Argentina Primera División,1.0,66,69,4000,"ST, CF",Right,1,3,2,High/Medium,71.0,65.0,56.0,66.0,36.0,65.0
8989,D. Holec,Dominik Holec,25,1994-07-28,191,89,Slovakia,Sparta Praha,Czech Republic Gambrinus Liga,1.0,66,69,500,GK,Right,1,3,1,Medium/Medium,,,,,,
8990,M. Lotrič,Mitja Lotrič,25,1994-09-03,168,66,Slovenia,,,,66,69,0,CAM,Right,1,4,3,High/Medium,71.0,67.0,65.0,65.0,35.0,53.0
8991,A. Østbø,Arild Østbø,29,1991-04-19,183,75,Norway,Viking FK,Norwegian Eliteserien,1.0,66,68,1000,GK,Right,1,2,1,Medium/Medium,,,,,,
8992,M. Ziegl,Marcel Ziegl,27,1992-12-20,182,78,Austria,SV Ried,Austrian Football Bundesliga,1.0,66,68,3000,"CDM, CM",Right,1,3,3,High/High,70.0,52.0,61.0,64.0,64.0,73.0
8993,J. Cousins,Jordan Cousins,26,1994-03-06,177,72,England,Stoke City,English League Championship,2.0,66,68,8000,"CDM, CM",Right,1,3,3,Low/High,74.0,55.0,58.0,66.0,61.0,72.0
8994,D. Potts,Daniel Potts,26,1994-04-13,172,70,England,Luton Town,English League Championship,2.0,66,68,4000,LB,Left,1,3,2,Medium/Medium,67.0,39.0,57.0,63.0,65.0,67.0
8995,A. Pierre,Aaron Pierre,27,1993-02-17,185,88,Grenada,Shrewsbury,English League One,3.0,66,68,3000,CB,Left,1,3,2,Medium/Medium,70.0,37.0,46.0,50.0,65.0,79.0
8996,A. Oshilaja,Abdulyussuf Adedeji Adeniyi Oshilaja,27,1993-02-26,181,75,England,Charlton Athletic,English League One,3.0,66,68,3000,"CB, RB",Right,1,3,2,Medium/Medium,81.0,26.0,45.0,57.0,65.0,79.0
8997,W. Golla,Wojciech Golla,28,1992-01-12,186,80,Poland,Śląsk Wrocław,Polish T-Mobile Ekstraklasa,1.0,66,68,3000,CB,Right,1,2,2,Medium/High,52.0,36.0,54.0,50.0,64.0,71.0
8998,D. Léon,Donovan Léon,27,1992-11-03,186,88,France,AJ Auxerre,French Ligue 2,2.0,66,68,2000,GK,Right,1,2,1,Medium/Medium,,,,,,
8999,J. Husband,James Husband,26,1994-01-03,179,65,England,Blackpool,English League One,3.0,66,68,3000,"LB, CB",Left,1,3,3,Medium/Medium,67.0,50.0,56.0,64.0,64.0,67.0
9000,P. Boumal,Petrus Boumal Mayega,27,1993-04-20,175,75,Cameroon,BB Erzurumspor,Turkish Süper Lig,1.0,66,68,4000,CDM,Left,1,3,3,Medium/Medium,64.0,47.0,62.0,66.0,62.0,65.0
9001,M. Koval,Maksym Koval,27,1992-12-09,189,79,Ukraine,Al Fateh,Saudi Abdul L. Jameel League,1.0,66,68,6000,GK,Right,1,2,1,Medium/Medium,,,,,,
9002,Z. Alomerović,Zlatan Alomerović,29,1991-06-15,187,85,Serbia,Lechia Gdańsk,Polish T-Mobile Ekstraklasa,1.0,66,68,3000,GK,Right,1,3,1,Medium/Medium,,,,,,
9003,M. Schmerböck,Marc Andre Schmerböck,26,1994-04-01,180,73,Austria,Wolfsberger AC,Austrian Football Bundesliga,1.0,66,68,6000,"ST, CAM, LM",Left,1,2,3,Medium/Medium,76.0,65.0,60.0,68.0,34.0,62.0
9004,A. Kamara,Alhaji Kamara,26,1994-04-16,180,73,Sierra Leone,Randers FC,Danish Superliga,1.0,66,68,5000,ST,Right,1,2,2,High/Medium,77.0,64.0,47.0,64.0,25.0,80.0
9005,M. Heylen,Michaël Heylen,26,1994-01-03,187,82,Belgium,Sparta Rotterdam,Holland Eredivisie,1.0,66,68,3000,CB,Right,1,3,2,Medium/Medium,49.0,37.0,55.0,46.0,66.0,72.0
9006,P. Cibicki,Paweł Cibicki,26,1994-01-09,182,66,Sweden,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,1.0,66,68,3000,"ST, LM",Right,1,2,3,High/Medium,79.0,64.0,64.0,69.0,30.0,63.0
9007,L. Cabrera,Luis Alberto Cabrera Figueroa,26,1994-01-07,168,70,Chile,Audax Italiano,Chilian Campeonato Nacional,1.0,66,68,2000,"CM, CDM",Right,1,2,3,Medium/High,58.0,59.0,60.0,69.0,63.0,67.0
9008,X. Schenk,Xandro Schenk,27,1993-04-28,188,88,Netherlands,FC Twente,Holland Eredivisie,1.0,66,68,3000,"CB, LB",Left,1,2,2,Medium/High,58.0,45.0,60.0,58.0,64.0,77.0
9009,K. Jackson,Kayden Jackson,26,1994-02-22,181,73,England,Ipswich Town,English League One,3.0,66,68,5000,ST,Right,1,3,2,High/Medium,91.0,64.0,47.0,63.0,30.0,57.0
9010,M. Stefaniak,Marvin Stefaniak,25,1995-02-03,178,76,Germany,SpVgg Greuther Fürth,German 2. Bundesliga,2.0,66,68,3000,"LM, LW",Right,1,4,3,Medium/Medium,75.0,62.0,62.0,69.0,29.0,58.0
9011,F. Menig,Fabian Menig,26,1994-02-26,187,79,Germany,Hallescher FC,German 3. Bundesliga,3.0,66,68,2000,"RB, RWB, RM",Right,1,3,2,Medium/Medium,63.0,35.0,48.0,54.0,66.0,73.0
9012,Wang Shangyuan,王上源,27,1993-06-02,185,70,China PR,Henan Jianye FC,Chinese Super League,1.0,66,68,4000,"CB, CDM, CM",Right,1,3,3,Medium/Medium,72.0,60.0,61.0,68.0,64.0,80.0
9013,M. Schultz,Michael Schultz,27,1993-05-30,194,89,Germany,Eintracht Braunschweig,German 2. Bundesliga,2.0,66,68,5000,CB,Right,1,2,2,Medium/Medium,51.0,26.0,42.0,51.0,66.0,74.0
9014,A. Tahiri,Anas Tahiri,25,1995-05-15,179,61,Morocco,RKC Waalwijk,Holland Eredivisie,1.0,66,68,2000,"CAM, CM, LW",Right,1,3,3,Medium/Medium,76.0,56.0,66.0,72.0,35.0,45.0
9015,N. Sandberg,Niklas Sandberg,25,1995-05-18,183,73,Norway,FK Haugesund,Norwegian Eliteserien,1.0,66,68,2000,RW,Left,1,3,3,Medium/Medium,71.0,62.0,65.0,67.0,51.0,63.0
9016,G. Ward,Grant Ward,25,1994-12-05,178,73,England,Blackpool,English League One,3.0,66,68,3000,"RM, CM",Right,1,3,3,Medium/Medium,72.0,60.0,64.0,66.0,55.0,60.0
9017,Yu Rui,于睿,27,1992-08-11,185,76,China PR,Shanghai SIPG FC,Chinese Super League,1.0,66,68,4000,CB,Right,1,3,2,High/Medium,61.0,39.0,51.0,52.0,65.0,74.0
9018,L. Andrenacci,Lorenzo Andrenacci,25,1995-01-02,188,77,Italy,Brescia,Italian Serie B,2.0,66,68,500,GK,Right,1,3,1,Medium/Medium,,,,,,
9019,N. Besler,Nick Besler,27,1993-05-07,185,75,United States,Real Salt Lake,USA Major League Soccer,1.0,66,68,2000,"CB, CM, CDM",Right,1,2,2,Low/Medium,62.0,41.0,58.0,60.0,64.0,71.0
9020,C. Dieng,Cheikhou Dieng,26,1993-11-23,180,66,Senegal,Wolfsberger AC,Austrian Football Bundesliga,1.0,66,68,6000,"ST, LM, RM",Right,1,3,3,High/Low,88.0,64.0,60.0,68.0,30.0,50.0
9021,F. Kalig,Fabian Kalig,27,1993-03-28,181,78,Germany,FC Erzgebirge Aue,German 2. Bundesliga,2.0,66,68,3000,"CB, RB",Right,1,3,2,Medium/Medium,62.0,42.0,51.0,56.0,66.0,67.0
9022,D. Romney,David Romney,27,1993-06-12,188,79,United States,Nashville SC,USA Major League Soccer,1.0,66,68,2000,"CB, LB, RB",Left,1,3,2,Medium/High,59.0,32.0,57.0,60.0,65.0,72.0
9023,Ko Seung Beom,고승범 高承范,26,1994-04-24,174,70,Korea Republic,Suwon Samsung Bluewings,Korean K League Classic,1.0,66,68,2000,"CDM, RM",Right,1,4,3,Medium/Medium,69.0,61.0,62.0,65.0,58.0,74.0
9024,P. Kurzweg,Peter Kurzweg,26,1994-02-10,180,80,Germany,FC Ingolstadt 04,German 3. Bundesliga,3.0,66,68,3000,"LB, LM, RB",Left,1,3,2,High/Medium,83.0,47.0,63.0,64.0,57.0,71.0
9025,D. Wiebe,Danilo Wiebe,26,1994-03-22,187,73,Germany,Eintracht Braunschweig,German 2. Bundesliga,2.0,66,68,5000,"CDM, CM, CB",Right,1,3,2,Medium/Medium,55.0,41.0,56.0,57.0,65.0,70.0
9026,P. Mako,Paseka Matsobane Mako,26,1994-04-01,163,59,South Africa,Orlando Pirates,South African Premier Division,1.0,66,68,500,"LB, LM, LW",Left,1,3,2,High/Medium,74.0,38.0,50.0,64.0,66.0,61.0
9027,A. De Bruyn,Alexandre De Bruyn,26,1994-06-04,178,69,Belgium,KAA Gent,Belgian Jupiler Pro League,1.0,66,68,6000,"CAM, CM, CF",Right,1,3,3,High/Medium,73.0,67.0,62.0,73.0,31.0,56.0
9028,E. Pap,Eduard Adrian Pap,26,1994-07-01,182,82,Romania,FC Botoşani,Romanian Liga I,1.0,66,68,3000,GK,Right,1,2,1,Medium/Medium,,,,,,
9029,Cadete,Enrique López Fernández,26,1994-06-24,186,80,Spain,Atlético de San Luis,Mexican Liga MX,1.0,66,68,4000,"LB, CB",Left,1,3,2,High/High,69.0,38.0,63.0,62.0,62.0,68.0
9030,L. Kambole,Lazarous Kambole,26,1994-01-20,186,80,Zambia,Kaizer Chiefs,South African Premier Division,1.0,66,68,500,"ST, RW, LW",Right,1,4,2,High/Medium,73.0,68.0,49.0,65.0,24.0,64.0
